node,0,node0,5207,3854
node,1,node1,4557,2738
node,2,node2,2867,4223
node,3,node3,2483,3271
node,4,node4,5057,2917
node,5,node5,2215,2184
node,6,node6,5991,2155
node,7,node7,2687,3362
node,8,node8,4022,3420
node,9,node9,4155,4624
node,10,node10,2017,3181
node,11,node11,4700,1622
node,12,node12,2103,2643
node,13,node13,4232,2722
node,14,node14,2149,4146
node,15,node15,3351,1587
node,16,node16,5158,3228
node,17,node17,4340,1852
node,18,node18,5691,1673
node,19,node19,4557,2166
node,20,node20,3514,3634
node,21,node21,2592,3962
node,22,node22,5834,4591
node,23,node23,2871,2624
node,24,node24,3832,4127
node,25,node25,4697,2176
node,26,node26,2626,2814
node,27,node27,5283,4535
node,28,node28,2355,2354
node,29,node29,4918,4059
node,30,node30,3793,4401
node,31,node31,4183,4110
node,32,node32,4695,3305
node,33,node33,4006,2457
node,34,node34,3025,3738
node,35,node35,3358,3363
node,36,node36,2290,3689
node,37,node37,4491,3893
node,38,node38,2384,3510
node,39,node39,5930,3875
node,40,node40,4671,2013
node,41,node41,4733,3779
node,42,node42,2471,1738
node,43,node43,2117,3819
node,44,node44,3685,2216
node,45,node45,2114,4388
node,46,node46,4986,2597
node,47,node47,3707,4125
node,48,node48,2811,4429
node,49,node49,4770,3853
node,50,node50,5340,4425
node,51,node51,5135,2340
node,52,node52,5713,2174
node,53,node53,4242,3758
node,54,node54,5928,3342
node,55,node55,4068,3442
node,56,node56,3164,2988
node,57,node57,2451,2607
node,58,node58,5743,1772
node,59,node59,3361,2776
node,60,node60,2489,2857
node,61,node61,3376,2457
node,62,node62,2935,2570
node,63,node63,5304,3134
node,64,node64,4663,1650
node,65,node65,4831,3780
node,66,node66,3978,4569
node,67,node67,2029,3974
node,68,node68,3207,3984
node,69,node69,2728,1817
node,70,node70,2085,3648
node,71,node71,2979,4529
node,72,node72,4024,3778
node,73,node73,5228,1614
node,74,node74,4494,4207
node,75,node75,5329,4046
node,76,node76,2306,4567
node,77,node77,3146,4146
node,78,node78,5289,3045
node,79,node79,2240,1890
node,80,node80,5668,3650
node,81,node81,4035,4126
node,82,node82,5379,1994
node,83,node83,4850,4166
node,84,node84,5639,3048
node,85,node85,2305,3394
node,86,node86,2280,3513
node,87,node87,2884,3717
node,88,node88,4650,1864
node,89,node89,2793,4026
node,90,node90,5355,3474
node,91,node91,5777,4092
node,92,node92,2668,3400
node,93,node93,4165,2241
node,94,node94,5120,2420
node,95,node95,3198,2880
node,96,node96,4608,2519
node,97,node97,5534,1817
node,98,node98,2297,4287
node,99,node99,4868,3445
link,1,67
link,1,83
link,2,65
link,3,52
link,3,68
link,4,84
link,5,81
link,5,59
link,5,4
link,6,73
link,6,67
link,6,46
link,7,72
link,7,88
link,9,92
link,9,65
link,9,11
link,13,34
link,13,77
link,14,98
link,16,37
link,17,13
link,17,70
link,20,54
link,20,52
link,21,40
link,22,48
link,23,15
link,23,85
link,23,17
link,24,72
link,24,94
link,24,46
link,25,37
link,25,40
link,25,71
link,26,26
link,26,54
link,26,27
link,27,10
link,27,59
link,28,9
link,28,58
link,28,99
link,29,78
link,29,35
link,31,53
link,32,50
link,33,54
link,33,24
link,34,1
link,35,76
link,35,6
link,36,44
link,36,69
link,37,68
link,37,79
link,38,51
link,38,61
link,39,15
link,39,92
link,40,30
link,40,1
link,42,18
link,42,99
link,42,83
link,44,23
link,44,34
link,44,11
link,45,5
link,45,67
link,46,13
link,46,99
link,46,8
link,47,4
link,47,63
link,48,87
link,48,8
link,48,23
link,49,5
link,52,13
link,54,14
link,54,12
link,55,11
link,55,29
link,55,43
link,56,3
link,57,70
link,57,58
link,58,42
link,58,17
link,58,24
link,59,77
link,59,40
link,60,20
link,60,60
link,61,60
link,61,71
link,62,68
link,65,83
link,65,65
link,66,73
link,66,77
link,68,38
link,69,6
link,69,77
link,70,83
link,70,67
link,71,70
link,71,21
link,71,32
link,72,61
link,72,44
link,72,51
link,73,3
link,73,85
link,75,86
link,75,50
link,76,27
link,78,79
link,78,79
link,78,56
link,81,36
link,81,67
link,81,3
link,83,75
link,85,7
link,85,56
link,85,26
link,86,87
link,87,4
link,87,67
link,89,6
link,89,96
link,89,12
link,90,82
link,90,7
link,90,26
link,92,48
link,92,74
link,92,94
link,93,9
link,93,54
link,93,11
link,95,91
link,96,71
link,97,40
link,97,2
link,98,27
link,98,85
link,98,21
link,99,80
link,99,54
